Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Scenario1,Chrome 67.0.3396.99,Scenario1,2018-07-24 17:48:52,2018-07-24 17:49:02,10.020s,PASSED
,,,,,,
Test Cases/Day1Training/Scenario1-Record Mode,Chrome 67.0.3396.99,Scenario1,2018-07-24 17:48:52,2018-07-24 17:49:02,9.675s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:48:52,2018-07-24 17:48:55,2.780s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:48:55,2018-07-24 17:48:57,1.331s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:48:57,2018-07-24 17:48:57,0.478s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:48:57,2018-07-24 17:48:57,0.127s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:48:57,2018-07-24 17:48:57,0.331s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:48:57,2018-07-24 17:48:59,1.085s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:48:59,2018-07-24 17:49:01,2.548s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:49:01,2018-07-24 17:49:02,0.743s,PASSED
