Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Scenario1,Firefox 61.0,Scenario1,2018-07-24 15:04:51,2018-07-24 15:05:08,16.936s,PASSED
,,,,,,
Test Cases/Day1Training/Scenario1-Record Mode,Firefox 61.0,Scenario1,2018-07-24 15:04:52,2018-07-24 15:05:08,16.488s,PASSED
openBrowser,Firefox 61.0,,2018-07-24 15:04:52,2018-07-24 15:04:58,6.192s,PASSED
navigateToUrl,Firefox 61.0,,2018-07-24 15:04:58,2018-07-24 15:05:00,2.159s,PASSED
click,Firefox 61.0,,2018-07-24 15:05:00,2018-07-24 15:05:01,0.684s,PASSED
setText,Firefox 61.0,,2018-07-24 15:05:01,2018-07-24 15:05:01,0.066s,PASSED
setEncryptedText,Firefox 61.0,,2018-07-24 15:05:01,2018-07-24 15:05:01,0.277s,PASSED
click,Firefox 61.0,,2018-07-24 15:05:01,2018-07-24 15:05:02,1.083s,PASSED
openBrowser,Firefox 61.0,,2018-07-24 15:05:02,2018-07-24 15:05:08,5.345s,PASSED
closeBrowser,Firefox 61.0,,2018-07-24 15:05:08,2018-07-24 15:05:08,0.328s,PASSED
