Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Scenario1,Chrome 67.0.3396.99,Scenario1,2018-07-24 15:04:51,2018-07-24 15:05:03,11.991s,PASSED
,,,,,,
Test Cases/Day1Training/Scenario1-Record Mode,Chrome 67.0.3396.99,Scenario1,2018-07-24 15:04:51,2018-07-24 15:05:03,11.537s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:52,2018-07-24 15:04:55,3.181s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:04:55,2018-07-24 15:04:56,1.392s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:56,2018-07-24 15:04:57,0.519s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:04:57,2018-07-24 15:04:57,0.159s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:04:57,2018-07-24 15:04:57,0.367s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:57,2018-07-24 15:04:58,1.035s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:58,2018-07-24 15:05:02,3.227s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:05:02,2018-07-24 15:05:03,1.284s,PASSED
