Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Jenkins Scenario1,Chrome 67.0.3396.99,,2018-07-26 12:53:27,2018-07-26 12:53:34,7.375s,PASSED
,,,,,,
Test Cases/Day 3 Training/Training/Scenario2 - Jenkins,Chrome 67.0.3396.99,,2018-07-26 12:53:27,2018-07-26 12:53:34,7.068s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:53:27,2018-07-26 12:53:30,2.753s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:53:30,2018-07-26 12:53:33,2.951s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:53:33,2018-07-26 12:53:33,0.131s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:53:33,2018-07-26 12:53:33,0.189s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:53:33,2018-07-26 12:53:33,0.110s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:53:33,2018-07-26 12:53:33,0.082s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:53:33,2018-07-26 12:53:34,0.616s,PASSED
