Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Jenkins Scenario1,Chrome 67.0.3396.99,,2018-07-26 13:02:22,2018-07-26 13:02:31,8.660s,PASSED
,,,,,,
Test Cases/Day 3 Training/Training/Scenario2 - Jenkins,Chrome 67.0.3396.99,,2018-07-26 13:02:22,2018-07-26 13:02:31,8.323s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 13:02:23,2018-07-26 13:02:25,2.705s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 13:02:25,2018-07-26 13:02:29,4.075s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:02:29,2018-07-26 13:02:29,0.118s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:02:29,2018-07-26 13:02:30,0.354s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 13:02:30,2018-07-26 13:02:30,0.111s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 13:02:30,2018-07-26 13:02:30,0.084s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 13:02:30,2018-07-26 13:02:31,0.620s,PASSED
